,PassengerId,Survived,Age,Cabin,Pclass_1,Pclass_2,Pclass_3,C,Q,S,female,male,Parch_1,Parch_2,Parch_3,SibSp_1,SibSp_2,SibSp_3,Miss,Mr
26,27,0,28.5,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
27,28,0,19.0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
28,29,1,26.0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
29,30,0,33.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
30,31,0,40.0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
31,32,1,48.666666666666664,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
32,33,1,57.33333333333333,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
33,34,0,66.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
34,35,0,28.0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1
35,36,0,42.0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
36,37,1,31.5,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
37,38,0,21.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
38,39,0,18.0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0
39,40,1,14.0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0
40,41,0,40.0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0
41,42,0,27.0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0
42,43,0,15.0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
43,44,1,3.0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0
44,45,1,19.0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
45,46,0,18.8,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
46,47,0,18.6,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1
47,48,1,18.4,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
48,49,0,18.2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1
49,50,0,18.0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0
50,51,0,7.0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
51,52,0,21.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
52,53,1,49.0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
53,54,1,29.0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0
54,55,0,65.0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
55,56,1,43.0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
56,57,1,21.0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
57,58,0,28.5,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
58,59,1,5.0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0
59,60,0,11.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
60,61,0,22.0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
61,62,1,38.0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
62,63,0,45.0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
63,64,0,4.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
64,65,0,12.333333333333334,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
65,66,1,20.666666666666668,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1
66,67,1,29.0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
67,68,0,19.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
68,69,1,17.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0
69,70,0,26.0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1
70,71,0,32.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
71,72,0,16.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0
72,73,0,21.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
73,74,0,26.0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1
74,75,1,32.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
75,76,0,25.0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
76,77,0,16.943333333333335,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
77,78,0,8.886666666666667,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
78,79,1,0.83,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1
79,80,1,30.0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
80,81,0,22.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
81,82,1,29.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
82,83,1,28.5,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
83,84,0,28.0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
84,85,1,17.0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
85,86,1,33.0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,1,0
86,87,0,16.0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1
87,88,0,19.5,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
88,89,1,23.0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0
89,90,0,24.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
90,91,0,29.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
91,92,0,20.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
92,93,0,46.0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
93,94,0,26.0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1
94,95,0,59.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
95,96,0,65.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
96,97,0,71.0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
97,98,1,23.0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
98,99,1,34.0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0
99,100,0,34.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1
100,101,0,28.0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
101,102,0,24.5,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
102,103,0,21.0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
103,104,0,33.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
104,105,0,37.0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1
105,106,0,28.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
106,107,1,21.0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
107,108,1,29.5,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
108,109,0,38.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
109,110,1,42.5,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
110,111,0,47.0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
111,112,0,14.5,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0
112,113,0,22.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
113,114,0,20.0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0
114,115,0,17.0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0
115,116,0,21.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
116,117,0,70.5,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
117,118,0,29.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1
118,119,0,24.0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
119,120,0,2.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0
120,121,0,21.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1
121,122,0,26.75,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
122,123,0,32.5,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1
123,124,1,32.5,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
124,125,0,54.0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
125,126,1,12.0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1
126,127,0,18.0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
127,128,1,24.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
128,129,1,34.5,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1,0
129,130,0,45.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
130,131,0,33.0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
131,132,0,20.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
132,133,0,47.0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0
133,134,1,29.0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0
134,135,0,25.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
135,136,0,23.0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
136,137,1,19.0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0
137,138,0,37.0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
138,139,0,16.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
139,140,0,24.0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
140,141,0,23.0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
141,142,1,22.0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
142,143,1,24.0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0
143,144,0,19.0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
144,145,0,18.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
145,146,0,19.0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1
146,147,1,27.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
147,148,0,9.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0
148,149,0,36.5,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1
149,150,0,42.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
150,151,0,51.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
151,152,1,22.0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0
152,153,0,55.5,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
153,154,0,40.5,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1
154,155,0,45.75,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
155,156,0,51.0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
156,157,1,16.0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
157,158,0,30.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
158,159,0,34.666666666666664,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
159,160,0,39.333333333333336,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
160,161,0,44.0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1
161,162,1,40.0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
162,163,0,26.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
163,164,0,17.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
164,165,0,1.0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
165,166,1,9.0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1
166,167,1,27.0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
167,168,0,45.0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0
168,169,0,36.5,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
169,170,0,28.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
170,171,0,61.0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
171,172,0,4.0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1
172,173,1,1.0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
173,174,0,21.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
174,175,0,56.0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
175,176,0,18.0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1
176,177,0,34.0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
177,178,0,50.0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
178,179,0,30.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
179,180,0,36.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
180,181,0,27.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0
181,182,0,18.0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
182,183,0,9.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
183,184,1,1.0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1
184,185,1,4.0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0
185,186,0,17.666666666666664,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
186,187,1,31.333333333333332,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
187,188,1,45.0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
188,189,0,40.0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1
189,190,0,36.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
190,191,1,32.0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
191,192,0,19.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
192,193,1,19.0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0
193,194,1,3.0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1
194,195,1,44.0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
195,196,1,58.0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
196,197,0,50.0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
197,198,0,42.0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1
198,199,1,33.0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
199,200,0,24.0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
200,201,0,28.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
201,202,0,31.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
202,203,0,34.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
203,204,0,45.5,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
204,205,1,18.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
205,206,0,2.0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0
206,207,0,32.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1
207,208,1,26.0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
208,209,1,16.0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
209,210,1,40.0,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
210,211,0,24.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
211,212,1,35.0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0
212,213,0,22.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
213,214,0,30.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
214,215,0,30.5,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1
215,216,1,31.0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
216,217,1,27.0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
217,218,0,42.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1
218,219,1,32.0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
219,220,0,30.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
220,221,1,16.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
221,222,0,27.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
222,223,0,51.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
223,224,0,44.5,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
224,225,1,38.0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1
225,226,0,22.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
226,227,1,19.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
227,228,0,20.5,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
228,229,0,18.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
229,230,0,26.5,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
230,231,1,35.0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0
231,232,0,29.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
232,233,0,59.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
233,234,1,5.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0
234,235,0,24.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
235,236,0,34.0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
236,237,0,44.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1
237,238,1,8.0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0
238,239,0,19.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
239,240,0,33.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
240,241,0,31.666666666666668,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0
241,242,1,30.333333333333332,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0
242,243,0,29.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
243,244,0,22.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
244,245,0,30.0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
245,246,0,44.0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1
246,247,0,25.0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
247,248,1,24.0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0
248,249,1,37.0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1
249,250,0,54.0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1
250,251,0,41.5,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
251,252,0,29.0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
252,253,0,62.0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
253,254,0,30.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1
254,255,0,41.0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0
255,256,1,29.0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,1,0
256,257,1,29.5,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
257,258,1,30.0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
258,259,1,35.0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
259,260,1,50.0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0
260,261,0,26.5,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
261,262,1,3.0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
262,263,0,52.0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1
263,264,0,40.0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
264,265,0,38.0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
265,266,0,36.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
266,267,0,16.0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
267,268,1,25.0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1
268,269,1,58.0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0
269,270,1,35.0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
270,271,0,30.0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
271,272,1,25.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
272,273,1,41.0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0
273,274,0,37.0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
274,275,1,50.0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
275,276,1,63.0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0
276,277,0,45.0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
277,278,0,26.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
278,279,0,7.0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1
279,280,1,35.0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0
280,281,0,65.0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,1
281,282,0,28.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
282,283,0,16.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
283,284,1,19.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
284,285,0,26.0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
285,286,0,33.0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
286,287,1,30.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
287,288,0,22.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
288,289,1,42.0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1
289,290,1,22.0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
290,291,1,26.0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0
291,292,1,19.0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
292,293,0,36.0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1
293,294,0,24.0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0
294,295,0,24.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
295,296,0,23.75,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1
296,297,0,23.5,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1
297,298,0,2.0,1,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0
298,299,1,26.0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
299,300,1,50.0,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0
300,301,1,39.666666666666664,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
301,302,1,29.333333333333332,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1
302,303,0,19.0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
303,304,1,12.973333333333333,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0
304,305,0,6.946666666666667,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
305,306,1,0.92,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
306,307,1,8.959999999999999,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
307,308,1,17.0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0
308,309,0,30.0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1
309,310,1,30.0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
310,311,1,24.0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0
311,312,1,18.0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0
